epoch,accuracy,loss,val_accuracy,val_loss
0,0.756436,731.8392059622063,0.70193404,732.8818485056039
1,0.8644266,730.423822166369,0.79977244,731.311918256497
2,0.89368105,729.9685692820649,0.8566553,730.6551067191722
3,0.909562,729.7566704630493,0.88623434,730.082883034143
4,0.9144099,729.6129620245013,0.890785,729.9519604714386
5,0.92410564,729.4414427568187,0.88395905,729.8387867099732
6,0.91992646,729.3821793342266,0.8885097,729.7501079745938
7,0.927449,729.2060403520946,0.9112628,729.4949312351127
8,0.92995656,729.0860663656007,0.9124005,729.2692020490036
9,0.9388164,728.8909186564414,0.8953356,729.4046176046777
