epoch,accuracy,loss,val_accuracy,val_loss
0,0.9212638,0.25907659805466565,0.8020478,0.6055279317997587
1,0.96823806,0.09196396028653772,0.7701934,0.7955418523266992
2,0.9869609,0.034871756626154334,0.94880545,0.19652833669617945
3,0.997994,0.008829005812103613,0.9476678,0.19218514527938435
4,0.998997,0.004112222861586489,0.9522184,0.1904746721560037
5,0.9994985,0.0026850299541458737,0.9510808,0.20004694318859775
6,0.9996657,0.0022707535976397245,0.9522184,0.19582601016030504
7,0.9996657,0.0018520183689453274,0.9510808,0.18568245743880982
8,1.0,0.0014855852219628292,0.9533561,0.19712173288368678
9,0.9998328,0.001328538757708196,0.9499431,0.1982758355027068
